0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
ruby-on-rails,ruby,node-js,scala,microservices,data-architecture,graphql,api,sidekiq,rest,kafka,back-end,javascript,java,virtualization,docker,kubernetes,,,,,,,,,,,,,,,,
analytics,python,virtualization,amazon-web-services,back-end,tech-lead,cloud-computing,english,cloud,,,,,,,,,,,,,,,,,,,,,,,,
groovy,sap,abap,api,back-end,cloud,java,soap,erp,,,,,,,,,,,,,,,,,,,,,,,,
sql,angularjs,etl,graphql,api,rest,javascript,angular,front-end,material-design,diseno-ui,,,,,,,,,,,,,,,,,,,,,,
node-js,css,git,rest,back-end,agile,javascript,,,,,,,,,,,,,,,,,,,,,,,,,,
wordpress,mysql,seo,html5,php,css,git,back-end,javascript,,,,,,,,,,,,,,,,,,,,,,,,
mysql,redis,node-js,git,express,elasticsearch,rest,back-end,typescript,english,javascript,cloud,web-service,,,,,,,,,,,,,,,,,,,,
angularjs,html5,css,git,bootstrap,full-stack,back-end,javascript,angular,java,front-end,svn,node-js,oracle,maven,spring,tomcat,spring-boot,project-management,,,,,,,,,,,,,,
scrum,agile,kanban-cbe618f9-934b-4c01-87ae-4d0c7093da2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nestjs,node-js,css,virtualization,react,amazon-web-services,next-js,full-stack,cloud-gcp,back-end,cloud-computing,javascript,terraform,cloud,infrastructure-as-code,github,,,,,,,,,,,,,,,,,
responsive,css,git,bootstrap,front-end,diseno-ui,angularjs,javascript,angular,,,,,,,,,,,,,,,,,,,,,,,,
sql,sql-server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
virtualization,react-native,microservices,amazon-web-services,cloud-gcp,back-end,ci-cd,tech-lead,user-testing,agile,mobile,cloud-computing,cloud,java,,,,,,,,,,,,,,,,,,,
react,api,rest,english,javascript,front-end,,,,,,,,,,,,,,,,,,,,,,,,,,,
nosql,node-js,python,go,postgresql,golang,mongodb,react,next-js,full-stack,back-end,javascript,front-end,,,,,,,,,,,,,,,,,,,,
redis,sql,tornado,python,virtualization,docker,flask,react,back-end,english,javascript,,,,,,,,,,,,,,,,,,,,,,
json,sql,c-sharp,c,net,css,asp,bootstrap,sql-server,api,rest,back-end,visual-basic,,,,,,,,,,,,,,,,,,,,
ruby-on-rails,angularjs,postgresql,javascript,angular,front-end,github,,,,,,,,,,,,,,,,,,,,,,,,,,
fastapi,python,virtualization,react,data-architecture,amazon-web-services,api,full-stack,dynamodb,back-end,ci-cd,cloud-computing,javascript,cloud,infrastructure-as-code,cloudformation,github,,,,,,,,,,,,,,,,
api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python,api,full-stack,rest,back-end,english,javascript,,,,,,,,,,,,,,,,,,,,,,,,,,
nosql,sql,node-js,angularjs,net,react,back-end,javascript,angular,front-end,,,,,,,,,,,,,,,,,,,,,,,
excel,english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devops,sonarqube,jira,ci-cd,tech-lead,agile,cloud,project-management,sonarqube-14cb7487-289b-4f1b-ae29-a5fd66c7b505,,,,,,,,,,,,,,,,,,,,,,,,
